"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies, Inc.","Healthcare","Medical Laboratories & Research","USA",20956.13,27.63,65.29,0.48%,2263190
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",7900.43,49.74,42.48,1.05%,2570436
3,"AABA","Altaba Inc.","Financial","Asset Management","USA",61691.01,45.08,72.09,-1.49%,26038739
4,"AAC","AAC Holdings, Inc.","Healthcare","Specialized Health Services","USA",205.52,,8.65,-10.73%,640751
5,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,53.06,-1.03%,14209
6,"AAL","American Airlines Group Inc.","Services","Major Airlines","USA",17085.95,7.35,37.93,-0.55%,5920694
7,"AAMC","Altisource Asset Management Corporation","Financial","Asset Management","USA",101.41,,62.60,-4.43%,392
8,"AAME","Atlantic American Corporation","Financial","Life Insurance","USA",50.51,,2.65,1.92%,940
9,"AAN","Aaron's, Inc.","Services","Rental & Leasing Services","USA",3224.99,21.33,45.79,1.98%,726950
10,"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductor - Integrated Circuits","USA",748.31,15.17,38.14,1.98%,633876
11,"AAON","AAON, Inc.","Industrial Goods","General Building Materials","USA",1916.21,44.59,37.10,-1.07%,364850
12,"AAP","Advance Auto Parts, Inc.","Services","Auto Parts Stores","USA",10652.81,27.53,143.26,2.51%,654039
13,"AAPL","Apple Inc.","Consumer Goods","Electronic Equipment","USA",1039847.24,19.11,207.39,2.92%,62247708
14,"AAT","American Assets Trust, Inc.","Financial","REIT - Retail","USA",1832.81,84.71,38.12,-0.24%,108590
15,"AAU","Almaden Minerals Ltd.","Basic Materials","Gold","Canada",66.77,,0.64,-1.77%,158631
16,"AAV","Advantage Oil & Gas Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Canada",648.70,13.53,3.45,0.00%,108184
17,"AAWW","Atlas Air Worldwide Holdings, Inc.","Services","Air Services, Other","USA",1662.15,16.44,64.65,-4.22%,561726
18,"AAXJ","iShares MSCI All Country Asia ex Jpn ETF","Financial","Exchange Traded Fund","USA",,,71.34,-1.46%,2985810
19,"AAXN","Axon Enterprise, Inc.","Industrial Goods","Aerospace/Defense Products & Services","USA",4308.22,174.89,69.78,1.99%,494016
20,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",2745.10,10.86,28.30,-4.71%,909837
21,"ABAC","Renmin Tianli Group, Inc.","Consumer Goods","Farm Products","China",21.20,13.32,2.13,-3.14%,12144
22,"ABAX","Abaxis, Inc.","Healthcare","Medical Laboratories & Research","USA",1899.87,62.41,83.00,0.00%,0
23,"ABB","ABB Ltd","Industrial Goods","Diversified Machinery","Switzerland",47771.66,21.83,22.57,-1.10%,1910476
24,"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - Major","USA",155211.11,22.49,95.12,1.29%,6021082
25,"ABC","AmerisourceBergen Corporation","Services","Drugs Wholesale","USA",17747.60,66.65,78.98,-0.64%,3712164
26,"ABCB","Ameris Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",2219.61,20.00,49.15,3.04%,779565
27,"ABCD","Cambium Learning Group, Inc.","Services","Education & Training Services","USA",629.25,10.09,12.59,3.88%,214611
28,"ABDC","Alcentra Capital Corporation","Financial","Asset Management","USA",,,6.11,0.58%,55793
29,"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology","USA",636.73,,14.20,-1.73%,306113
30,"ABEV","Ambev S.A.","Consumer Goods","Beverages - Brewers","Brazil",79949.65,40.40,5.09,-1.36%,24527708
31,"ABG","Asbury Automotive Group, Inc.","Services","Auto Dealerships","USA",1481.61,9.01,71.30,0.85%,173738
32,"ABIL","Ability Inc.","Technology","Communication Equipment","Israel",9.01,,2.85,-6.56%,29396
33,"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",11.03,,0.74,9.90%,4139317
34,"ABM","ABM Industries Incorporated","Services","Business Services","USA",2053.92,30.54,31.12,0.00%,277836
35,"ABMD","ABIOMED, Inc.","Healthcare","Medical Appliances & Equipment","USA",19384.18,92.04,372.20,2.48%,779476
36,"ABR","Arbor Realty Trust, Inc.","Financial","REIT - Diversified","USA",780.90,9.07,11.38,0.00%,1243636
37,"ABT","Abbott Laboratories","Healthcare","Medical Appliances & Equipment","USA",113168.70,49.41,64.58,-0.31%,4680764
38,"ABTX","Allegiance Bancshares, Inc.","Financial","Regional - Southwest Banks","USA",607.05,27.77,45.10,0.56%,21447
39,"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology","Canada",738.41,,12.35,4.22%,935487
40,"ABX","Barrick Gold Corporation","Basic Materials","Gold","Canada",13447.01,,10.94,-0.09%,11331673
41,"AC","Associated Capital Group, Inc.","Financial","Asset Management","USA",857.07,,36.80,1.24%,13978
42,"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",2009.98,,15.49,0.85%,1684845
43,"ACBI","Atlantic Capital Bancshares, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",483.91,24.06,17.85,-0.56%,38888
44,"ACC","American Campus Communities, Inc.","Financial","REIT - Residential","USA",5606.96,72.46,40.87,-0.17%,463577
45,"ACCO","ACCO Brands Corporation","Consumer Goods","Office Supplies","USA",1366.39,12.39,12.70,0.00%,700435
46,"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology","USA",158.56,,20.89,-1.88%,41040
47,"ACET","Aceto Corporation","Basic Materials","Chemicals - Major Diversified","USA",94.18,,3.17,0.00%,84987
48,"ACGL","Arch Capital Group Ltd.","Financial","Property & Casualty Insurance","Bermuda",11976.35,26.08,30.04,-0.07%,1884659
49,"ACGLO","Arch Capital Group Ltd.","Financial","Insurance Brokers","Bermuda",9917.05,22.20,24.58,0.29%,9573
50,"ACGLP","Arch Capital Group Ltd.","Financial","Insurance Brokers","Bermuda",9618.49,21.54,23.84,0.17%,30137
51,"ACH","Aluminum Corporation of China Limited","Basic Materials","Aluminum","China",7460.07,33.41,10.49,-5.32%,79231
52,"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Specialized Health Services","USA",3496.33,17.83,39.99,-0.95%,1416107
53,"ACHN","Achillion Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",364.97,,2.57,0.00%,636837
54,"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology","USA",4.22,,3.22,0.00%,54643
55,"ACIA","Acacia Communications, Inc.","Technology","Communication Equipment","USA",1381.74,57.34,33.66,3.86%,1128167
56,"ACIM","SPDR MSCI ACWI IMI ETF","Financial","Exchange Traded Fund","USA",,,79.48,-0.38%,1646
57,"ACIU","AC Immune SA","Healthcare","Biotechnology","Switzerland",966.83,,9.65,-2.72%,144379
58,"ACIW","ACI Worldwide, Inc.","Technology","Technical & System Software","USA",3111.13,140.48,26.55,0.34%,1201342
59,"ACLS","Axcelis Technologies, Inc.","Technology","Semiconductor Equipment & Materials","USA",734.95,6.42,22.90,2.46%,514940
60,"ACM","AECOM","Services","Technical Services","USA",5421.89,38.72,33.57,0.57%,489185
61,"ACMR","ACM Research, Inc.","Technology","Semiconductor Equipment & Materials","USA",230.35,,14.29,3.18%,109295
62,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",111315.46,24.13,160.15,0.28%,1774654
63,"ACNB","ACNB Corporation","Financial","Regional - Southwest  Banks","USA",243.94,14.75,34.70,1.17%,6784
64,"ACOR","Acorda Therapeutics, Inc.","Healthcare","Biotechnology","USA",1254.50,,26.00,5.05%,760782
